"delivery_date","hour_ending","qse","dme","generation_resource_name","multi_hour_block_flag","block_indicator1","price1_rrspfr","price1_rrsffr","price1_rrsufr","price1_ecrs","price1_offec","price1_online_nonspin","price1_regup","price1_regdown","price1_offline_nonspin","quantity_mw1","block_indicator2","price2_rrspfr","price2_rrsffr","price2_rrsufr","price2_ecrs","price2_offec","price2_online_nonspin","price2_regup","price2_regdown","price2_offline_nonspin","quantity_mw2","block_indicator3","price3_rrspfr","price3_rrsffr","price3_rrsufr","price3_ecrs","price3_offec","price3_online_nonspin","price3_regup","price3_regdown","price3_offline_nonspin","quantity_mw3","block_indicator4","price4_rrspfr","price4_rrsffr","price4_rrsufr","price4_ecrs","price4_offec","price4_online_nonspin","price4_regup","price4_regdown","price4_offline_nonspin","quantity_mw4","block_indicator5","price5_rrspfr","price5_rrsffr","price5_rrsufr","price5_ecrs","price5_offec","price5_online_nonspin","price5_regup","price5_regdown","price5_offline_nonspin","quantity_mw5","p_posted_date"
"2024-10-02","1","QENEL6","YENELT","AZURE_BESS1","N","V","0.49",,,,,,,,,"25.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTENSK","YPHR","BAC_CTG1","N","V",,,,,,,,,"1.02","53.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTENSK","YPHR","BAC_CTG2","N","V",,,,,,,,,"1.01","56.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTENSK","YPHR","BAC_CTG3","N","V",,,,,,,,,"1.07","53.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTENSK","YPHR","BAC_CTG5","N","V",,,,,,,,,"1.03","54.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTENSK","YPHR","BAC_CTG6","N","V",,,,,,,,,"1.05","55.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BATCAVE_BES1","N","V",,,,,,,,"0.79",,"20.1","V",,,,,,,,"2.29",,"20.1","V",,,,,,,,"3.23",,"20.1",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BATCAVE_BES1","N","V",,"0.0",,,,,,,,"100.5","V","0.79","0.79",,"0.79",,,"1.59",,,"25.1","V","1.29","1.29",,,,,"2.29",,,"20.1","V","1.98","1.98",,,,,"3.23",,,"20.1","V","4.98","4.88",,"4.98",,,"4.98",,,"20.1","2024-12-01"
"2024-10-02","1","QTEN24","YSMTTX","BAY_CITY_BESS","N","V","0.5",,,,,,,,,"5.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN23","YWATTB","BCH_UNIT1","N","V",,,,,"0.01",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN23","YWATTB","BCH_UNIT2","N","V",,,,,"0.02",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN23","YWATTB","BCH_UNIT3","N","V",,,,,,,,,"0.03","51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN23","YWATTB","BCH_UNIT4","N","V",,,,,"0.04",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN23","YWATTB","BCH_UNIT5","N","V",,,,,"0.05",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN23","YWATTB","BCH_UNIT6","N","V",,,,,"0.06",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN22","YTRIPL","BELD_BELU1","N","V","0.75",,,"0.75",,,,,,"1.0","V","9.99",,,"9.99",,,,,,"1.0","V","19.99",,,"19.99",,,,,,"1.0","V","76.94",,,"76.94",,,,,,"2.0",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QFPL12","YBLUET","BLSUMMIT_BATTERY","N","V",,,,,,,"0.0",,,"30.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QENEL7","YENELT","BLUEJAY_BESS1","N","V","0.49",,,,,,,,,"30.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","BOSQUESW_CC2_3","N","V",,,,,,"3.0",,,,"20.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCPSE","YCPS","BRAUNIG_VHB3","N","V",,,,,,,"2.61",,,"6.0","V",,,,,,,"3.31",,,"4.0","V","0.81",,,,,,,,,"40.0","V",,,,"0.8",,,,,,"10.0",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCPSE","YCPS","BRAUNIG_VHB3","N","V",,,,,,,,"7.11",,"10.0","V",,,,,,,,"10.11",,"5.0","V",,,,,,,,"14.11",,"2.5",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRAZORIA_UNIT1","N","V",,,,,,,,"0.79",,"2.0","V",,,,,,,,"2.29",,"2.0","V",,,,,,,,"3.23",,"2.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRAZORIA_UNIT1","N","V",,"0.0",,,,,,,,"9.9","V","0.79","0.79",,"0.79",,,"1.59",,,"2.5","V","1.29","1.29",,,,,"2.29",,,"2.0","V","1.98","1.98",,,,,"3.23",,,"2.0","V","4.98","4.88",,"4.98",,,"4.98",,,"2.0","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRP_PBL1_UNIT1","N","V",,,,,,,,"0.79",,"1.5","V",,,,,,,,"2.29",,"1.5","V",,,,,,,,"3.23",,"1.5",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRP_PBL1_UNIT1","N","V","0.49",,,"0.49",,,,,,"1.9","V","0.79",,,,,,"1.59",,,"1.5","V","1.29",,,,,,"2.29",,,"1.5","V","1.98",,,,,,"3.23",,,"1.1","V","4.98",,,"4.98",,,"4.98",,,"1.5","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRP_PBL2_UNIT1","N","V",,,,,,,,"0.79",,"1.5","V",,,,,,,,"2.29",,"1.5","V",,,,,,,,"3.23",,"1.5",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRP_PBL2_UNIT1","N","V",,"0.0",,,,,,,,"7.4","V","0.79","0.79",,"0.79",,,"1.59",,,"1.8","V","1.29","1.29",,,,,"2.29",,,"1.5","V","1.98","1.98",,,,,"3.23",,,"1.5","V","4.98","4.88",,"4.98",,,"4.98",,,"1.5","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRP_ZPT1_UNIT1","N","V",,,,,,,,"0.79",,"2.0","V",,,,,,,,"2.29",,"2.0","V",,,,,,,,"3.23",,"2.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRP_ZPT1_UNIT1","N","V",,"0.0",,,,,,,,"9.9","V","0.79","0.79",,"0.79",,,"1.59",,,"2.5","V","1.29","1.29",,,,,"2.29",,,"2.0","V","1.98","1.98",,,,,"3.23",,,"2.0","V","4.98","4.88",,"4.98",,,"4.98",,,"2.0","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRP_ZPT2_UNIT1","N","V","0.49",,,"0.49",,,,,,"1.2","V","0.79",,,,,,"1.59",,,"1.0","V","1.29",,,,,,"2.29",,,"1.0","V","1.98",,,,,,"3.23",,,"0.7","V","4.98",,,"4.98",,,"4.98",,,"1.0","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","BRP_ZPT2_UNIT1","N","V",,,,,,,,"0.79",,"1.0","V",,,,,,,,"2.29",,"1.0","V",,,,,,,,"3.23",,"1.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","BTE_CC1_4","N","V",,,,,,"3.0",,,,"30.0","V",,,,,,"4.0",,,,"30.0","V",,,,,,"5.0",,,,"20.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","BTE_CC1_6","N","V",,,,,,"3.0",,,,"50.0","V",,,,,,"4.0",,,,"15.0","V",,,,,,"5.0",,,,"50.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QEDF21","YWATTB","BTM_UNIT1","N","V",,,,,"0.01",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QEDF21","YWATTB","BTM_UNIT2","N","V",,,,,,,,,"0.02","44.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QEDF21","YWATTB","BTM_UNIT3","N","V",,,,,,,,,"0.04","49.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QEDF21","YWATTB","BTM_UNIT4","N","V",,,,,"0.04",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QEDF21","YWATTB","BTM_UNIT5","N","V",,,,,"0.05",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QEDF21","YWATTB","BTM_UNIT6","N","V",,,,,"0.06",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QEDF21","YWATTX","BTM_UNIT7","N","V",,,,,"0.07",,,,,"51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLCRA","YLCRA","BUCHAN_BUCHANG1","N","V","0.82",,,,,,,,,"14.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLCRA","YLCRA","BUCHAN_BUCHANG2","N","V","0.79",,,,,,,,,"14.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLCRA","YLCRA","BUCHAN_BUCHANG3","N","V","0.75",,,,,,,,,"15.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","BVE_CC1_1","N","V",,,,,,"3.0",,,,"40.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QHABIT","YGLIDE","BYRDR_ES_BESS1","N","V","1.97",,,"1.97",,,,,,"25.0","V","1.97",,,,,,,,,"25.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCPSE","YCPS","CALAVERS_OWS1","N","V",,,,,,,"2.71",,,"6.0","V",,,,,,,"3.41",,,"4.0","V","0.91",,,,,,,,,"42.0","V",,,,"0.8",,,,,,"50.0","V",,,,,,"0.81",,,,"25.0","2024-12-01"
"2024-10-02","1","QCPSE","YCPS","CALAVERS_OWS1","N","V",,,,,,,,"7.21",,"10.0","V",,,,,,,,"10.21",,"5.0","V",,,,,,,,"14.21",,"2.5",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSHEL2","YPORT","CALHOUN_UNIT1","N","V",,,,"0.01",,,,,,"40.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","CAL_CC1_2","N","V",,,,,,"3.0",,,,"5.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QBEEP1","YBEEPR","CATARINA_BESS","N","V","0.99",,,,,,,,,"3.5","V","19.99",,,,,,,,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","CCEC_CC1_2","N","V",,,,,,"1.0",,,,"40.0","V",,,,,,"1.5",,,,"30.0","V",,,,,,"2.0",,,,"30.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","CCEC_CC1_4","N","V",,,,,,"1.0",,,,"40.0","V",,,,,,"1.5",,,,"40.0","V",,,,,,"2.0",,,,"80.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QBEEP1","YBEEPR","CEDRVALE_BESS","N","V","0.99",,,,,,,,,"3.5","V","19.99",,,,,,,,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSHEL2","YCHAM","CHAMON_CTG_0101","N","V",,,,"0.01",,,,,,"41.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","CHE_CC1_7","N","V",,,,,,"5.0",,,,"25.0","V",,,,,,"3.0",,,,"70.0","V",,,,,,"4.0",,,,"30.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","CHE_CC1_9","N","V",,,,,,"3.0",,,,"50.0","V",,,,,,"4.0",,,,"50.0","V",,,,,,"5.0",,,,"15.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN25","YCHISH","CHISMGRD_BES1","N","V",,,,,,,,"1.51",,"40.0","V",,,,,,,,"2.33",,"40.0","V",,,,,,,,"3.33",,"20.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN25","YCHISH","CHISMGRD_BES1","N","V","0.99",,,,,,"1.32",,,"40.0","V","0.8",,,,,,"2.56",,,"40.0","V","4.11",,,,,,"3.33",,,"20.0","V",,,,"2.86",,,,,,"10.0",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN22","YCALLI","CLO_BESS1","N","V","0.7",,,"0.7",,,,,,"10.0","V","14.94",,,"14.94",,,,,,"10.0","V","14.0",,,"14.0",,,,,,"10.0","V","44.0",,,"44.0",,,,,,"10.0","V","99.0",,,"99.0",,"99.0",,,,"15.0","2024-12-01"
"2024-10-02","1","QMEA1","YMEA","CLO_BESS2","N","V","0.41",,,"0.42",,"5000.0","5000.0",,,"98.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLUMN","YLUMN","COLETO_COLETOG1","N","V","0.01",,,"0.01",,,"4.94",,,"0.1","V","0.01",,,"0.01",,,"4.94",,,"14.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLUMN","YLUMN","COLETO_COLETOG1","N","V",,,,,,,,"33.63",,"1.5","V",,,,,,,,"31.18",,"2.0","V",,,,,,,,"31.18",,"2.0","V",,,,,,,,"31.18",,"2.0",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTYRE","YREGCO","CONTINEN_BESS1","N","V","5000.0",,,"0.5",,,,,,"0.3","V","0.5",,,"5000.0",,,,,,"0.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QNGRE1","YCOPPE","CORALSLR_BESS1","N","V","5000.0",,,"5000.0",,,"5000.0",,,"0.1","V","5000.0",,,"5000.0",,,"5000.0",,,"0.2","V","5000.0",,,"5000.0",,,"1000.0",,,"4.0","V","0.0",,,"5000.0",,,"5000.0",,,"20.0","V","5000.0",,,"0.0",,,"5000.0",,,"20.0","2024-12-01"
"2024-10-02","1","QNGRE1","YCOPPE","CORALSLR_BESS2","N","V","5000.0",,,"5000.0",,,"5000.0",,,"0.1","V","5000.0",,,"5000.0",,,"5000.0",,,"0.2","V","5000.0",,,"5000.0",,,"1000.0",,,"4.0","V","0.0",,,"5000.0",,,"5000.0",,,"20.0","V","5000.0",,,"0.0",,,"5000.0",,,"20.0","2024-12-01"
"2024-10-02","1","QBEEP1","YBEEPR","COYOTSPR_BESS","N","V","0.95",,,,,,,,,"0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QZEPHY","YHATCH","CROSSETT_BES1","N","V","0.5",,,"0.5",,,"500.0",,,"35.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QTEN22","YCROSS","CROSSETT_BES2","N","V","1.5",,,"1.5",,,,,,"5.0","V","5.0",,,,,,,,,"10.0","V","7.0",,,"7.0",,,,,,"20.0","V","10.0",,,"10.0",,,,,,"20.0","V",,,,,,"15.0",,,,"20.0","2024-12-01"
"2024-10-02","1","QBTU","YBRYN","DANSBY_DANSBYG1","N","V",,,,,,"0.2",,,,"50.0","V","0.5",,,,,,,,,"15.0","V",,,,,,,"25.0",,,"5.0","V",,,,"5.0",,,,,,"15.0",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLUMN","YLUMN","DCSES_BES1","N","V","1.0",,,,,,,,,"31.0","V","1.0",,,"2.5",,,"1.0",,,"31.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLUMN","YLUMN","DCSES_BES2","N","V","1.0",,,,,,,,,"31.0","V","1.0",,,,,,,,,"31.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLUMN","YLUMN","DCSES_BES3","N","V","1.0",,,,,,,,,"29.5","V","1.0",,,,,,,,,"29.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLUMN","YLUMN","DCSES_CT20","N","V",,,,,,,,,"0.88","8.8","V",,,,,,,,,"0.85","8.8","V",,,,,,,,,"18.0","26.3","V",,,,,,,,,"0.01","29.1",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLUMN","YLUMN","DCSES_CT30","N","V",,,,,,,,,"0.93","8.8","V",,,,,,,,,"0.91","8.8","V",,,,,,,,,"18.22","26.3","V",,,,,,,,,"0.01","29.1",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","DDPEC_CC1_2","N","V",,,,,,"3.0",,,,"60.0","V",,,,,,"4.0",,,,"70.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QCALP","YCALP","DDPEC_CC1_4","N","V",,,,,,"3.0",,,,"60.0","V",,,,,,"4.0",,,,"90.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QAEN","YAEN","DECKER_DPGT_1","N","V",,,,,,,,,"0.01","48.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QBEEP1","YHENI1","DIBOL_BESS","N","V","0.99",,,,,,,,,"3.5","V","44.97",,,,,,,,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DICKNSON_UNIT1","N","V",,"0.0",,,,,,,,"9.9","V","0.79","0.79",,"0.79",,,"1.59",,,"2.5","V","1.29","1.29",,,,,"2.29",,,"2.0","V","1.98","1.98",,,,,"3.23",,,"2.0","V","4.98","4.88",,"4.98",,,"4.98",,,"2.0","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DICKNSON_UNIT1","N","V",,,,,,,,"0.79",,"2.0","V",,,,,,,,"2.29",,"2.0","V",,,,,,,,"3.23",,"2.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DKNS_ESS_BES1","N","V",,,,,,,,"0.79",,"10.0","V",,,,,,,,"2.29",,"10.0","V",,,,,,,,"3.23",,"10.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DKNS_ESS_BES1","N","V","0.49",,,"0.49",,,,,,"12.5","V","0.79",,,,,,"1.59",,,"10.0","V","1.29",,,,,,"2.29",,,"10.0","V","1.98",,,,,,"3.23",,,"7.5","V","4.98",,,"4.98",,,"4.98",,,"10.0","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DKNS_ESS_BES2","N","V",,,,,,,,"0.79",,"9.8","V",,,,,,,,"2.29",,"9.8","V",,,,,,,,"3.23",,"9.8",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DKNS_ESS_BES2","N","V","0.49",,,"0.49",,,,,,"12.2","V","0.79",,,,,,"1.59",,,"9.8","V","1.29",,,,,,"2.29",,,"9.8","V","1.98",,,,,,"3.23",,,"7.4","V","4.98",,,"4.98",,,"4.98",,,"9.8","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DKNS_ESS_BES3","N","V","0.49",,,"0.49",,,,,,"11.9","V","0.79",,,,,,"1.59",,,"9.5","V","1.29",,,,,,"2.29",,,"9.5","V","1.98",,,,,,"3.23",,,"7.1","V","4.98",,,"4.98",,,"4.98",,,"9.5","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DKNS_ESS_BES3","N","V",,,,,,,,"0.79",,"9.5","V",,,,,,,,"2.29",,"9.5","V",,,,,,,,"3.23",,"9.5",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DKNS_ESS_BES4","N","V",,,,,,,,"0.79",,"10.0","V",,,,,,,,"2.29",,"10.0","V",,,,,,,,"3.23",,"10.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","DKNS_ESS_BES4","N","V","0.49",,,"0.49",,,,,,"12.5","V","0.79",,,,,,"1.59",,,"10.0","V","1.29",,,,,,"2.29",,,"10.0","V","1.98",,,,,,"3.23",,,"7.5","V","4.98",,,"4.98",,,"4.98",,,"10.0","2024-12-01"
"2024-10-02","1","QSUE52","YPLUSP","EBNY_ESS_BESS1","N","V","1.0",,,"1.0",,,"5000.0",,,"29.2","V","0.25",,,"0.25",,,"5000.0",,,"78.0","V","0.5",,,"0.5",,,"5000.0",,,"48.8","V","0.75",,,"0.75",,,"5000.0",,,"39.0",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSHEL2","YKEYCA","ENDPARKS_ESS1","N","V","0.01",,,,,,,,,"50.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSHEL2","YKEYCA","ENDPARKS_ESS1","N","V",,,,,,,,"5000.0",,"0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
